instance,cpus,gpus
a1.2xlarge,8,0
a1.4xlarge,16,0
a1.large,2,0
a1.medium,1,0
a1.metal,16,0
a1.xlarge,4,0
c1.medium,2,0
c1.xlarge,8,0
c3.2xlarge,8,0
c3.4xlarge,16,0
c3.8xlarge,32,0
c3.large,2,0
c3.xlarge,4,0
c4.2xlarge,8,0
c4.4xlarge,16,0
c4.8xlarge,36,0
c4.large,2,0
c4.xlarge,4,0
c5.12xlarge,48,0
c5.18xlarge,72,0
c5.24xlarge,96,0
c5.2xlarge,8,0
c5.4xlarge,16,0
c5.9xlarge,36,0
c5.large,2,0
c5.metal,96,0
c5.xlarge,4,0
c5a.12xlarge,48,0
c5a.16xlarge,64,0
c5a.24xlarge,96,0
c5a.2xlarge,8,0
c5a.4xlarge,16,0
c5a.8xlarge,32,0
c5a.large,2,0
c5a.xlarge,4,0
c5ad.12xlarge,48,0
c5ad.16xlarge,64,0
c5ad.24xlarge,96,0
c5ad.2xlarge,8,0
c5ad.4xlarge,16,0
c5ad.8xlarge,32,0
c5ad.large,2,0
c5ad.xlarge,4,0
c5d.12xlarge,48,0
c5d.18xlarge,72,0
c5d.24xlarge,96,0
c5d.2xlarge,8,0
c5d.4xlarge,16,0
c5d.9xlarge,36,0
c5d.large,2,0
c5d.metal,96,0
c5d.xlarge,4,0
c5n.18xlarge,72,0
c5n.2xlarge,8,0
c5n.4xlarge,16,0
c5n.9xlarge,36,0
c5n.large,2,0
c5n.metal,72,0
c5n.xlarge,4,0
c6a.12xlarge,48,0
c6a.16xlarge,64,0
c6a.24xlarge,96,0
c6a.2xlarge,8,0
c6a.32xlarge,128,0
c6a.48xlarge,192,0
c6a.4xlarge,16,0
c6a.8xlarge,32,0
c6a.large,2,0
c6a.xlarge,4,0
c6g.12xlarge,48,0
c6g.16xlarge,64,0
c6g.2xlarge,8,0
c6g.4xlarge,16,0
c6g.8xlarge,32,0
c6g.large,2,0
c6g.medium,1,0
c6g.metal,64,0
c6g.xlarge,4,0
c6gd.12xlarge,48,0
c6gd.16xlarge,64,0
c6gd.2xlarge,8,0
c6gd.4xlarge,16,0
c6gd.8xlarge,32,0
c6gd.large,2,0
c6gd.medium,1,0
c6gd.metal,64,0
c6gd.xlarge,4,0
c6gn.12xlarge,48,0
c6gn.16xlarge,64,0
c6gn.2xlarge,8,0
c6gn.4xlarge,16,0
c6gn.8xlarge,32,0
c6gn.large,2,0
c6gn.medium,1,0
c6gn.xlarge,4,0
c6i.12xlarge,48,0
c6i.16xlarge,64,0
c6i.24xlarge,96,0
c6i.2xlarge,8,0
c6i.32xlarge,128,0
c6i.4xlarge,16,0
c6i.8xlarge,32,0
c6i.large,2,0
c6i.metal,128,0
c6i.xlarge,4,0
cc2.8xlarge,32,0
d2.2xlarge,8,0
d2.4xlarge,16,0
d2.8xlarge,36,0
d2.xlarge,4,0
d3.2xlarge,8,0
d3.4xlarge,16,0
d3.8xlarge,32,0
d3.xlarge,4,0
d3en.12xlarge,48,0
d3en.2xlarge,8,0
d3en.4xlarge,16,0
d3en.6xlarge,24,0
d3en.8xlarge,32,0
d3en.xlarge,4,0
dl1.24xlarge,96,8
f1.16xlarge,64,0
f1.2xlarge,8,0
f1.4xlarge,16,0
g2.2xlarge,8,1
g2.8xlarge,32,4
g3.16xlarge,64,4
g3.4xlarge,16,1
g3.8xlarge,32,2
g3s.xlarge,4,1
g4ad.16xlarge,64,4
g4ad.2xlarge,8,1
g4ad.4xlarge,16,1
g4ad.8xlarge,32,2
g4ad.xlarge,4,1
g4dn.12xlarge,48,4
g4dn.16xlarge,64,1
g4dn.2xlarge,8,1
g4dn.4xlarge,16,1
g4dn.8xlarge,32,1
g4dn.metal,96,8
g4dn.xlarge,4,1
g5.12xlarge,48,4
g5.16xlarge,64,1
g5.24xlarge,96,4
g5.2xlarge,8,1
g5.48xlarge,192,8
g5.4xlarge,16,1
g5.8xlarge,32,1
g5.xlarge,4,1
g5g.16xlarge,64,2
g5g.2xlarge,8,1
g5g.4xlarge,16,1
g5g.8xlarge,32,1
g5g.metal,64,2
g5g.xlarge,4,1
h1.16xlarge,64,0
h1.2xlarge,8,0
h1.4xlarge,16,0
h1.8xlarge,32,0
i2.2xlarge,8,0
i2.4xlarge,16,0
i2.8xlarge,32,0
i2.xlarge,4,0
i3.16xlarge,64,0
i3.2xlarge,8,0
i3.4xlarge,16,0
i3.8xlarge,32,0
i3.large,2,0
i3.metal,72,0
i3.xlarge,4,0
i3en.12xlarge,48,0
i3en.24xlarge,96,0
i3en.2xlarge,8,0
i3en.3xlarge,12,0
i3en.6xlarge,24,0
i3en.large,2,0
i3en.metal,96,0
i3en.xlarge,4,0
im4gn.16xlarge,64,0
im4gn.2xlarge,8,0
im4gn.4xlarge,16,0
im4gn.8xlarge,32,0
im4gn.large,2,0
im4gn.xlarge,4,0
inf1.24xlarge,96,0
inf1.2xlarge,8,0
inf1.6xlarge,24,0
inf1.xlarge,4,0
is4gen.2xlarge,8,0
is4gen.4xlarge,16,0
is4gen.8xlarge,32,0
is4gen.large,2,0
is4gen.medium,1,0
is4gen.xlarge,4,0
m1.large,2,0
m1.medium,1,0
m1.small,1,0
m1.xlarge,4,0
m2.2xlarge,4,0
m2.4xlarge,8,0
m2.xlarge,2,0
m3.2xlarge,8,0
m3.large,2,0
m3.medium,1,0
m3.xlarge,4,0
m4.10xlarge,40,0
m4.16xlarge,64,0
m4.2xlarge,8,0
m4.4xlarge,16,0
m4.large,2,0
m4.xlarge,4,0
m5.12xlarge,48,0
m5.16xlarge,64,0
m5.24xlarge,96,0
m5.2xlarge,8,0
m5.4xlarge,16,0
m5.8xlarge,32,0
m5.large,2,0
m5.metal,96,0
m5.xlarge,4,0
m5a.12xlarge,48,0
m5a.16xlarge,64,0
m5a.24xlarge,96,0
m5a.2xlarge,8,0
m5a.4xlarge,16,0
m5a.8xlarge,32,0
m5a.large,2,0
m5a.xlarge,4,0
m5ad.12xlarge,48,0
m5ad.16xlarge,64,0
m5ad.24xlarge,96,0
m5ad.2xlarge,8,0
m5ad.4xlarge,16,0
m5ad.8xlarge,32,0
m5ad.large,2,0
m5ad.xlarge,4,0
m5d.12xlarge,48,0
m5d.16xlarge,64,0
m5d.24xlarge,96,0
m5d.2xlarge,8,0
m5d.4xlarge,16,0
m5d.8xlarge,32,0
m5d.large,2,0
m5d.metal,96,0
m5d.xlarge,4,0
m5dn.12xlarge,48,0
m5dn.16xlarge,64,0
m5dn.24xlarge,96,0
m5dn.2xlarge,8,0
m5dn.4xlarge,16,0
m5dn.8xlarge,32,0
m5dn.large,2,0
m5dn.metal,96,0
m5dn.xlarge,4,0
m5n.12xlarge,48,0
m5n.16xlarge,64,0
m5n.24xlarge,96,0
m5n.2xlarge,8,0
m5n.4xlarge,16,0
m5n.8xlarge,32,0
m5n.large,2,0
m5n.metal,96,0
m5n.xlarge,4,0
m5zn.12xlarge,48,0
m5zn.2xlarge,8,0
m5zn.3xlarge,12,0
m5zn.6xlarge,24,0
m5zn.large,2,0
m5zn.metal,48,0
m5zn.xlarge,4,0
m6a.12xlarge,48,0
m6a.16xlarge,64,0
m6a.24xlarge,96,0
m6a.2xlarge,8,0
m6a.32xlarge,128,0
m6a.48xlarge,192,0
m6a.4xlarge,16,0
m6a.8xlarge,32,0
m6a.large,2,0
m6a.xlarge,4,0
m6g.12xlarge,48,0
m6g.16xlarge,64,0
m6g.2xlarge,8,0
m6g.4xlarge,16,0
m6g.8xlarge,32,0
m6g.large,2,0
m6g.medium,1,0
m6g.metal,64,0
m6g.xlarge,4,0
m6gd.12xlarge,48,0
m6gd.16xlarge,64,0
m6gd.2xlarge,8,0
m6gd.4xlarge,16,0
m6gd.8xlarge,32,0
m6gd.large,2,0
m6gd.medium,1,0
m6gd.metal,64,0
m6gd.xlarge,4,0
m6i.12xlarge,48,0
m6i.16xlarge,64,0
m6i.24xlarge,96,0
m6i.2xlarge,8,0
m6i.32xlarge,128,0
m6i.4xlarge,16,0
m6i.8xlarge,32,0
m6i.large,2,0
m6i.metal,128,0
m6i.xlarge,4,0
mac1.metal,12,0
p2.16xlarge,64,16
p2.8xlarge,32,8
p2.xlarge,4,1
p3.16xlarge,64,8
p3.2xlarge,8,1
p3.8xlarge,32,4
p3dn.24xlarge,96,8
p4d.24xlarge,96,8
r3.2xlarge,8,0
r3.4xlarge,16,0
r3.8xlarge,32,0
r3.large,2,0
r3.xlarge,4,0
r4.16xlarge,64,0
r4.2xlarge,8,0
r4.4xlarge,16,0
r4.8xlarge,32,0
r4.large,2,0
r4.xlarge,4,0
r5.12xlarge,48,0
r5.16xlarge,64,0
r5.24xlarge,96,0
r5.2xlarge,8,0
r5.4xlarge,16,0
r5.8xlarge,32,0
r5.large,2,0
r5.metal,96,0
r5.xlarge,4,0
r5a.12xlarge,48,0
r5a.16xlarge,64,0
r5a.24xlarge,96,0
r5a.2xlarge,8,0
r5a.4xlarge,16,0
r5a.8xlarge,32,0
r5a.large,2,0
r5a.xlarge,4,0
r5ad.12xlarge,48,0
r5ad.16xlarge,64,0
r5ad.24xlarge,96,0
r5ad.2xlarge,8,0
r5ad.4xlarge,16,0
r5ad.8xlarge,32,0
r5ad.large,2,0
r5ad.xlarge,4,0
r5b.12xlarge,48,0
r5b.16xlarge,64,0
r5b.24xlarge,96,0
r5b.2xlarge,8,0
r5b.4xlarge,16,0
r5b.8xlarge,32,0
r5b.large,2,0
r5b.metal,96,0
r5b.xlarge,4,0
r5d.12xlarge,48,0
r5d.16xlarge,64,0
r5d.24xlarge,96,0
r5d.2xlarge,8,0
r5d.4xlarge,16,0
r5d.8xlarge,32,0
r5d.large,2,0
r5d.metal,96,0
r5d.xlarge,4,0
r5dn.12xlarge,48,0
r5dn.16xlarge,64,0
r5dn.24xlarge,96,0
r5dn.2xlarge,8,0
r5dn.4xlarge,16,0
r5dn.8xlarge,32,0
r5dn.large,2,0
r5dn.metal,96,0
r5dn.xlarge,4,0
r5n.12xlarge,48,0
r5n.16xlarge,64,0
r5n.24xlarge,96,0
r5n.2xlarge,8,0
r5n.4xlarge,16,0
r5n.8xlarge,32,0
r5n.large,2,0
r5n.metal,96,0
r5n.xlarge,4,0
r6g.12xlarge,48,0
r6g.16xlarge,64,0
r6g.2xlarge,8,0
r6g.4xlarge,16,0
r6g.8xlarge,32,0
r6g.large,2,0
r6g.medium,1,0
r6g.metal,64,0
r6g.xlarge,4,0
r6gd.12xlarge,48,0
r6gd.16xlarge,64,0
r6gd.2xlarge,8,0
r6gd.4xlarge,16,0
r6gd.8xlarge,32,0
r6gd.large,2,0
r6gd.medium,1,0
r6gd.metal,64,0
r6gd.xlarge,4,0
r6i.12xlarge,48,0
r6i.16xlarge,64,0
r6i.24xlarge,96,0
r6i.2xlarge,8,0
r6i.32xlarge,128,0
r6i.4xlarge,16,0
r6i.8xlarge,32,0
r6i.large,2,0
r6i.metal,128,0
r6i.xlarge,4,0
t1.micro,1,0
t2.2xlarge,8,0
t2.large,2,0
t2.medium,2,0
t2.micro,1,0
t2.nano,1,0
t2.small,1,0
t2.xlarge,4,0
t3.2xlarge,8,0
t3.large,2,0
t3.medium,2,0
t3.micro,2,0
t3.nano,2,0
t3.small,2,0
t3.xlarge,4,0
t3a.2xlarge,8,0
t3a.large,2,0
t3a.medium,2,0
t3a.micro,2,0
t3a.nano,2,0
t3a.small,2,0
t3a.xlarge,4,0
t4g.2xlarge,8,0
t4g.large,2,0
t4g.medium,2,0
t4g.micro,2,0
t4g.nano,2,0
t4g.small,2,0
t4g.xlarge,4,0
u-12tb1.112xlarge,448,0
u-3tb1.56xlarge,224,0
u-6tb1.112xlarge,448,0
u-6tb1.56xlarge,224,0
u-9tb1.112xlarge,448,0
vt1.24xlarge,96,0
vt1.3xlarge,12,0
vt1.6xlarge,24,0
x1.16xlarge,64,0
x1.32xlarge,128,0
x1e.16xlarge,64,0
x1e.2xlarge,8,0
x1e.32xlarge,128,0
x1e.4xlarge,16,0
x1e.8xlarge,32,0
x1e.xlarge,4,0
x2gd.12xlarge,48,0
x2gd.16xlarge,64,0
x2gd.2xlarge,8,0
x2gd.4xlarge,16,0
x2gd.8xlarge,32,0
x2gd.large,2,0
x2gd.medium,1,0
x2gd.metal,64,0
x2gd.xlarge,4,0
x2iezn.12xlarge,48,0
x2iezn.2xlarge,8,0
x2iezn.4xlarge,16,0
x2iezn.6xlarge,24,0
x2iezn.8xlarge,32,0
x2iezn.metal,48,0
z1d.12xlarge,48,0
z1d.2xlarge,8,0
z1d.3xlarge,12,0
z1d.6xlarge,24,0
z1d.large,2,0
z1d.metal,48,0
z1d.xlarge,4,0
